publisher,safe_name,wiki_title,wiki_lang,wikidata_id,official_url,logo_filename,image_source_url,output_path,status
Groupe Modus,Groupe Modus,Modus operandi,fr,Q301011,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Groupe Modus/folder.jpg,no_image
Grrr...Art Éditions,Grrr...Art Éditions,Jean-Jacques Thibaud,fr,Q3166427,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Grrr...Art Éditions/folder.jpg,no_image
Hachette,Hachette,Hachette Livre,fr,Q349566,http://www.hachette.com,Hachette Livre.png,https://media.hachette.fr/fit-in/1200x627/11/2022-04/hachette-logo_1.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Hachette/folder.jpg,ok
Hors Collection,Hors Collection,Hors collection,fr,Q22248568,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Hors Collection/folder.jpg,no_image
Horus,Horus,Horus,fr,Q84122,,Horus standing.svg,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Horus/folder.jpg,no_image
Huginn & Muninn,Huginn & Muninn,Hugin et Munin,fr,Q207041,,Odin (Manual of Mythology).jpg,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Huginn & Muninn/folder.jpg,no_image
Hugo & Cie,Hugo & Cie,Éditions Hugo & Cie,fr,Q28495521,https://www.hugopublishing.fr/,,https://www.hugopublishing.fr/wp-content/uploads/2020/09/2020_Site_Bannieres_1-1024x341.jpg,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Hugo & Cie/folder.jpg,ok
I.P.M. - International Presse Magazine,I.P.M. - International Presse Magazine,Groupe IPM,fr,Q3117442,https://www.ipmgroup.be/,IPM GROUP LOGO.svg,https://ipmgroup.be/wp-content/uploads/2018/04/ipm-group-logo-color.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/I.P.M. - International Presse Magazine/folder.jpg,ok
Ici Même Éditions,Ici Même Éditions,Éditions Gallimard,fr,Q273819,https://www.gallimard.fr/,"Gallimard, rue Gallimard.jpg",https://www.gallimard.fr/themes/custom/front/source/images/favicons/apple-icon-60x60.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Ici Même Éditions/folder.jpg,ok
JYB Aventures,JYB Aventures,Missions Kimono,fr,Q65129052,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/JYB Aventures/folder.jpg,no_image
Jean-André Buse,Jean-André Buse,Buse variable,fr,Q25385,,Common Buzzard by caroline legg (cropped).jpg,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Jean-André Buse/folder.jpg,no_image
Joker Editions,Joker Editions,Éditions Joker,fr,Q3579369,http://www.editions-joker.com/,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Joker Editions/folder.jpg,no_image
Jungle !,Jungle !,Jungle,fr,Q191086,,Jungle.jpg,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Jungle !/folder.jpg,no_image
Kana,Kana,Kana,fr,Q187659,,Tosa nikki copied by Teika.JPG,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Kana/folder.jpg,no_image
Kantik,Kantik,Manhwa,fr,Q562214,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Kantik/folder.jpg,no_image
Kennes Éditions,Kennes Éditions,Rose-Line Brasset,fr,Q49498549,,Rose-Line et Laurence Brasset.jpg,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Kennes Éditions/folder.jpg,no_image
Kesselring,Kesselring,Albert Kesselring,fr,Q57134,,"Bundesarchiv Bild 183-R93434, Albert Kesselring.jpg",https://commons.wikimedia.org/wiki/Special:FilePath/Bundesarchiv%20Bild%20183-R93434%2C%20Albert%20Kesselring.jpg,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Kesselring/folder.jpg,ok
Kontre Kulture,Kontre Kulture,Éditions Kontre Kulture,fr,Q15459036,http://www.kontrekulture.com/,Logo KK 2022 orange.svg,https://kontrekulture.com/wp-content/themes/flaksome/build/images/logo-kk-dark.76a058e8.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Kontre Kulture/folder.jpg,ok
L'Association,L'Association,L'Association,fr,Q1880627,http://www.lassociation.fr,,https://www.lassociation.fr/backoffice/wp-content/uploads/2019/11/asso_large.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/L'Association/folder.jpg,ok
LUG,LUG,Lug (dieu),fr,Q215683,,Lugh spear Millar.jpg,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/LUG/folder.jpg,no_image
La Cinquième Couche,La Cinquième Couche,La Cinquième Couche,fr,Q3207425,https://5c.be/,5c logo.png,https://5c.be/images/panier.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/La Cinquième Couche/folder.jpg,ok
La Pastèque,La Pastèque,Pastèque,fr,Q17507129,,Watermelon-garden.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Watermelon-garden.jpg,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/La Pastèque/folder.jpg,ok
La boîte à bulles,La boîte à bulles,La Boîte à bulles,fr,Q3206843,http://www.la-boite-a-bulles.com,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/La boîte à bulles/folder.jpg,no_image
La joie de lire,La joie de lire,La Joie de lire,fr,Q3209878,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/La joie de lire/folder.jpg,no_image
Larousse,Larousse,Éditions Larousse,fr,Q273835,https://www.editions-larousse.fr/,Logotype de Larousse par E. Grasset.jpg,https://media.hachette.fr/fit-in/1200x627/28/2024-06/beautiful-paris-carnet-de-moments-parisiens-grand-format-broche-2024-de-editions-larousse2.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Larousse/folder.jpg,ok
Lavauzelle,Lavauzelle,Lavauzelle,fr,Q20660492,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Lavauzelle/folder.jpg,no_image
Le Livre de Poche,Le Livre de Poche,Le Livre de poche,fr,Q1629027,http://www.livredepoche.com,,https://media.hachette.fr/fit-in/1200x627/30/2025-02/03b421dc-071b-4d52-b198-f58d16565cbf.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Le Livre de Poche/folder.jpg,ok
Le Téméraire,Le Téméraire,Charles le Téméraire,fr,Q151120,,Charles the Bold 1460.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Charles%20the%20Bold%201460.jpg,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Le Téméraire/folder.jpg,ok
Le potager moderne,Le potager moderne,Potager (cuisine),fr,Q3399913,,Objets du Musée des Forges de Brocas 02.JPG,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Le potager moderne/folder.jpg,no_image
Les Arènes,Les Arènes,Les Arènes,fr,Q3230701,http://www.arenes.fr/,,https://arenes.fr/wp-content/uploads/2022/06/home.jpg,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Les Arènes/folder.jpg,ok
Les Enfants Rouges,Les Enfants Rouges,Les Enfants rouges,fr,Q105546446,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Les Enfants Rouges/folder.jpg,no_image
Les Machines,Les Machines,Machine électrique,fr,Q951504,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Les Machines/folder.jpg,no_image
Les Malins,Les Malins,Les Petits Malins,fr,Q2556944,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Les Malins/folder.jpg,no_image
Les Requins Marteaux,Les Requins Marteaux,Les Requins Marteaux,fr,Q16655292,https://www.lesrequinsmarteaux.com/,Logo requins sticker sans fond.tif,https://www.lesrequinsmarteaux.com/sites/default/files/faviconrequins_64x64.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Les Requins Marteaux/folder.jpg,ok
Les Rêveurs,Les Rêveurs,"Les Rêveurs (film, 2025)",fr,Q136697805,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Les Rêveurs/folder.jpg,no_image
